video_id,url,query,category_type,file_path,embedding_file,embedding_shape,status,error
0-fTAqYCiPc,https://www.youtube.com/shorts/0-fTAqYCiPc,music Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\0-fTAqYCiPc.m4a,embeddings\0-fTAqYCiPc.npy,"(768,)",success,
0ls37smQRXc,https://www.youtube.com/shorts/0ls37smQRXc,educational Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\0ls37smQRXc.m4a,embeddings\0ls37smQRXc.npy,"(768,)",success,
18gdBoDT0Rk,https://www.youtube.com/shorts/18gdBoDT0Rk,recipe Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\18gdBoDT0Rk.m4a,embeddings\18gdBoDT0Rk.npy,"(768,)",success,
3SVi80fjs7U,https://www.youtube.com/shorts/3SVi80fjs7U,recipe Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\3SVi80fjs7U.m4a,embeddings\3SVi80fjs7U.npy,"(768,)",success,
5oI-qMCZ5dM,https://www.youtube.com/shorts/5oI-qMCZ5dM,recipe Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\5oI-qMCZ5dM.m4a,embeddings\5oI-qMCZ5dM.npy,"(768,)",success,
6C_xFde9_lc,https://www.youtube.com/shorts/6C_xFde9_lc,recipe Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\6C_xFde9_lc.m4a,embeddings\6C_xFde9_lc.npy,"(768,)",success,
6E10ebsKg0M,https://www.youtube.com/shorts/6E10ebsKg0M,educational Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\6E10ebsKg0M.m4a,embeddings\6E10ebsKg0M.npy,"(768,)",success,
6FljrpJG3pg,https://www.youtube.com/shorts/6FljrpJG3pg,music Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\6FljrpJG3pg.m4a,embeddings\6FljrpJG3pg.npy,"(768,)",success,
8W7RA8Akfxo,https://www.youtube.com/shorts/8W7RA8Akfxo,random Shorts,trending,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\8W7RA8Akfxo.m4a,embeddings\8W7RA8Akfxo.npy,"(768,)",success,
907vZOyWTo8,https://www.youtube.com/shorts/907vZOyWTo8,recipe Shorts,core,C:\Users\User\Documents\WesternAI\video-virality-predictor\Data\Audio\raw_audio\907vZOyWTo8.m4a,embeddings\907vZOyWTo8.npy,"(768,)",success,
