query,category_type,url
funny Shorts,core,https://www.youtube.com/shorts/apNm0EW5KHc
funny Shorts,core,https://www.youtube.com/shorts/6pr71BzMzMw
funny Shorts,core,https://www.youtube.com/shorts/jjary-9tnlo
funny Shorts,core,https://www.youtube.com/shorts/X_Sb47fxIe8
funny Shorts,core,https://www.youtube.com/shorts/NnoKEDvN5zE
funny Shorts,core,https://www.youtube.com/shorts/MrmFlBX3JU8
viral Shorts,trending,https://www.youtube.com/shorts/cjE7XdBB2fc
funny Shorts,core,https://www.youtube.com/shorts/z4OC3pYuOUw
funny Shorts,core,https://www.youtube.com/shorts/P2fnXovqm0A
random Shorts,trending,https://www.youtube.com/shorts/qj_fqQDlboQ
funny Shorts,core,https://www.youtube.com/shorts/W1FXk632mKE
random Shorts,trending,https://www.youtube.com/shorts/8W7RA8Akfxo
funny Shorts,core,https://www.youtube.com/shorts/Gzjz2ndVQQk
funny Shorts,core,https://www.youtube.com/shorts/DEdHAWH33nk
funny Shorts,core,https://www.youtube.com/shorts/uJ74HtNmZpk
funny Shorts,core,https://www.youtube.com/shorts/FSHKhK16NH4
funny Shorts,core,https://www.youtube.com/shorts/kKr3dczgIGk
funny Shorts,core,https://www.youtube.com/shorts/Jo_Gs6Hns0A
funny Shorts,core,https://www.youtube.com/shorts/jNb-wvzw1bk
funny Shorts,core,https://www.youtube.com/shorts/Pwm4w4QOqs0
educational Shorts,core,https://www.youtube.com/shorts/9dMFxnpEkKc
educational Shorts,core,https://www.youtube.com/shorts/6E10ebsKg0M
educational Shorts,core,https://www.youtube.com/shorts/V1Ticoqoidc
educational Shorts,core,https://www.youtube.com/shorts/shd4avQjheM
educational Shorts,core,https://www.youtube.com/shorts/pEj2NWSlup4
educational Shorts,core,https://www.youtube.com/shorts/kTMLgaONGHI
educational Shorts,core,https://www.youtube.com/shorts/wC8C5ctUfmU
educational Shorts,core,https://www.youtube.com/shorts/AZnC2yqGMrU
educational Shorts,core,https://www.youtube.com/shorts/X8x9RbePUjA
educational Shorts,core,https://www.youtube.com/shorts/tLZjL-dMH_g
educational Shorts,core,https://www.youtube.com/shorts/amTmnnqQf_E
educational Shorts,core,https://www.youtube.com/shorts/92pP76JC3bg
educational Shorts,core,https://www.youtube.com/shorts/IqCBuarzb2Y
educational Shorts,core,https://www.youtube.com/shorts/sgwcjPc6Niw
educational Shorts,core,https://www.youtube.com/shorts/0ls37smQRXc
educational Shorts,core,https://www.youtube.com/shorts/D-gLezMm5zQ
educational Shorts,core,https://www.youtube.com/shorts/vRAxTc3gC8k
educational Shorts,core,https://www.youtube.com/shorts/-yWBRPTPWIM
educational Shorts,core,https://www.youtube.com/shorts/zXvjbiMkrS4
educational Shorts,core,https://www.youtube.com/shorts/kSBYbyN17qo
recipe Shorts,core,https://www.youtube.com/shorts/TD-c7yRkEWI
recipe Shorts,core,https://www.youtube.com/shorts/zPxQjuFoUBc
recipe Shorts,core,https://www.youtube.com/shorts/907vZOyWTo8
recipe Shorts,core,https://www.youtube.com/shorts/3SVi80fjs7U
recipe Shorts,core,https://www.youtube.com/shorts/6C_xFde9_lc
recipe Shorts,core,https://www.youtube.com/shorts/HduytF6T4e4
recipe Shorts,core,https://www.youtube.com/shorts/Xao87NNSfiM
recipe Shorts,core,https://www.youtube.com/shorts/U-4MCjHtLIs
recipe Shorts,core,https://www.youtube.com/shorts/qgwHxIXuyvQ
recipe Shorts,core,https://www.youtube.com/shorts/OIwC6Jv55Hk
