query,category_type,url
funny Shorts,core,https://www.youtube.com/shorts/apNm0EW5KHc
funny Shorts,core,https://www.youtube.com/shorts/W1FXk632mKE
funny Shorts,core,https://www.youtube.com/shorts/X_Sb47fxIe8
random Shorts,trending,https://www.youtube.com/shorts/8W7RA8Akfxo
funny Shorts,core,https://www.youtube.com/shorts/kKr3dczgIGk
random Shorts,trending,https://www.youtube.com/shorts/qj_fqQDlboQ
funny Shorts,core,https://www.youtube.com/shorts/GfEkUfpK0mU
funny Shorts,core,https://www.youtube.com/shorts/P2fnXovqm0A
funny Shorts,core,https://www.youtube.com/shorts/gpLET-NBHng
funny Shorts,core,https://www.youtube.com/shorts/MrmFlBX3JU8
funny Shorts,core,https://www.youtube.com/shorts/fwdHxCFX3LA
funny Shorts,core,https://www.youtube.com/shorts/FSHKhK16NH4
funny Shorts,core,https://www.youtube.com/shorts/VmDecs5-OYo
funny Shorts,core,https://www.youtube.com/shorts/Ghktq-r-RP0
funny Shorts,core,https://www.youtube.com/shorts/uJ74HtNmZpk
funny Shorts,core,https://www.youtube.com/shorts/N4z5YRdjJQ4
funny Shorts,core,https://www.youtube.com/shorts/MIZGrsT5f1M
funny Shorts,core,https://www.youtube.com/shorts/UPFSxegFpK8
funny Shorts,core,https://www.youtube.com/shorts/apoM0C_rn5E
funny Shorts,core,https://www.youtube.com/shorts/wi9Evz3mjmI
educational Shorts,core,https://www.youtube.com/shorts/6E10ebsKg0M
educational Shorts,core,https://www.youtube.com/shorts/9dMFxnpEkKc
educational Shorts,core,https://www.youtube.com/shorts/V1Ticoqoidc
educational Shorts,core,https://www.youtube.com/shorts/pEj2NWSlup4
educational Shorts,core,https://www.youtube.com/shorts/IqCBuarzb2Y
educational Shorts,core,https://www.youtube.com/shorts/kTMLgaONGHI
educational Shorts,core,https://www.youtube.com/shorts/AZnC2yqGMrU
educational Shorts,core,https://www.youtube.com/shorts/tLZjL-dMH_g
educational Shorts,core,https://www.youtube.com/shorts/sgwcjPc6Niw
educational Shorts,core,https://www.youtube.com/shorts/92pP76JC3bg
educational Shorts,core,https://www.youtube.com/shorts/wC8C5ctUfmU
educational Shorts,core,https://www.youtube.com/shorts/tsYpg7MDnGc
educational Shorts,core,https://www.youtube.com/shorts/amTmnnqQf_E
educational Shorts,core,https://www.youtube.com/shorts/kSBYbyN17qo
educational Shorts,core,https://www.youtube.com/shorts/tk3fCn3bG2E
educational Shorts,core,https://www.youtube.com/shorts/0ls37smQRXc
educational Shorts,core,https://www.youtube.com/shorts/KbQP3IzC_Q4
educational Shorts,core,https://www.youtube.com/shorts/p6ayr6cuLpc
educational Shorts,core,https://www.youtube.com/shorts/Yc0gwTsW_f8
educational Shorts,core,https://www.youtube.com/shorts/Nd_-wruB9yM
recipe Shorts,core,https://www.youtube.com/shorts/zPxQjuFoUBc
recipe Shorts,core,https://www.youtube.com/shorts/3SVi80fjs7U
recipe Shorts,core,https://www.youtube.com/shorts/qgwHxIXuyvQ
recipe Shorts,core,https://www.youtube.com/shorts/6C_xFde9_lc
recipe Shorts,core,https://www.youtube.com/shorts/HduytF6T4e4
recipe Shorts,core,https://www.youtube.com/shorts/xaprz4aPPNc
recipe Shorts,core,https://www.youtube.com/shorts/907vZOyWTo8
recipe Shorts,core,https://www.youtube.com/shorts/U-4MCjHtLIs
recipe Shorts,core,https://www.youtube.com/shorts/TD-c7yRkEWI
recipe Shorts,core,https://www.youtube.com/shorts/YRaQor2ZZ3E
recipe Shorts,core,https://www.youtube.com/shorts/zJ6J0_-FHSY
recipe Shorts,core,https://www.youtube.com/shorts/eFoKUyq8dtM
recipe Shorts,core,https://www.youtube.com/shorts/Xao87NNSfiM
recipe Shorts,core,https://www.youtube.com/shorts/OIwC6Jv55Hk
recipe Shorts,core,https://www.youtube.com/shorts/18gdBoDT0Rk
recipe Shorts,core,https://www.youtube.com/shorts/5oI-qMCZ5dM
recipe Shorts,core,https://www.youtube.com/shorts/uDhhd4tY7KE
recipe Shorts,core,https://www.youtube.com/shorts/qiyzC1LgdzY
recipe Shorts,core,https://www.youtube.com/shorts/VJc9rat9ijg
recipe Shorts,core,https://www.youtube.com/shorts/HhHkKyu2xwQ
random Shorts,trending,https://www.youtube.com/shorts/prCIcoD-HN8
music Shorts,core,https://www.youtube.com/shorts/eVV7MiKca18
music Shorts,core,https://www.youtube.com/shorts/nh__MlfLSzo
music Shorts,core,https://www.youtube.com/shorts/s-aCf_5aKds
music Shorts,core,https://www.youtube.com/shorts/A8Um5kv0sg8
music Shorts,core,https://www.youtube.com/shorts/6FljrpJG3pg
music Shorts,core,https://www.youtube.com/shorts/DhN4B8J3HzA
music Shorts,core,https://www.youtube.com/shorts/lxPAIaTR9TI
music Shorts,core,https://www.youtube.com/shorts/zyayZuQ1iag
music Shorts,core,https://www.youtube.com/shorts/EfM2eThKAmo
music Shorts,core,https://www.youtube.com/shorts/TVplpRDAc1E
music Shorts,core,https://www.youtube.com/shorts/DZpSvIkDH-c
music Shorts,core,https://www.youtube.com/shorts/N9Y1rcrDrH4
music Shorts,core,https://www.youtube.com/shorts/st3jg_1z0f8
music Shorts,core,https://www.youtube.com/shorts/0-fTAqYCiPc
music Shorts,core,https://www.youtube.com/shorts/b_mwMikG_IQ
music Shorts,core,https://www.youtube.com/shorts/9mlO9i7b0Q8
music Shorts,core,https://www.youtube.com/shorts/iZUlNsDbbkU
music Shorts,core,https://www.youtube.com/shorts/v67Eifvn-sg
music Shorts,core,https://www.youtube.com/shorts/yFWXGp6DXdg
fashion Shorts,core,https://www.youtube.com/shorts/OCS5WrOPaC0
fashion Shorts,core,https://www.youtube.com/shorts/_ugoxztLc5Q
fashion Shorts,core,https://www.youtube.com/shorts/us1_764MCOc
fashion Shorts,core,https://www.youtube.com/shorts/ibw-aelvR3g
fashion Shorts,core,https://www.youtube.com/shorts/RSgGbOYnA_s
fashion Shorts,core,https://www.youtube.com/shorts/nwsL8PpqBqY
fashion Shorts,core,https://www.youtube.com/shorts/HhgxUnlhG4M
fashion Shorts,core,https://www.youtube.com/shorts/YTu7ReQ9TT8
fashion Shorts,core,https://www.youtube.com/shorts/jQy39x0l0PE
fashion Shorts,core,https://www.youtube.com/shorts/ztZYxWfsn4E
fashion Shorts,core,https://www.youtube.com/shorts/DBsZMP5g7Ks
fashion Shorts,core,https://www.youtube.com/shorts/rsIFfHWMjjo
fashion Shorts,core,https://www.youtube.com/shorts/TjhqoJ6LW7M
fashion Shorts,core,https://www.youtube.com/shorts/YZEJwHMI23M
fashion Shorts,core,https://www.youtube.com/shorts/BDuM5e5A6g8
fashion Shorts,core,https://www.youtube.com/shorts/-1_XnSYvKPY
fashion Shorts,core,https://www.youtube.com/shorts/nbqSQOkpc00
fashion Shorts,core,https://www.youtube.com/shorts/eFV8L2dFeRw
fashion Shorts,core,https://www.youtube.com/shorts/6Jpoz_bLrWs
fashion Shorts,core,https://www.youtube.com/shorts/jVBByRD9omY
sports Shorts,core,https://www.youtube.com/shorts/BNQuL1XKf4E
sports Shorts,core,https://www.youtube.com/shorts/Zjz_G84TxJM
sports Shorts,core,https://www.youtube.com/shorts/0tBQCfPyyNg
random Shorts,trending,https://www.youtube.com/shorts/cPpMQA3eUwY
sports Shorts,core,https://www.youtube.com/shorts/52iN7no-qpE
sports Shorts,core,https://www.youtube.com/shorts/B26vV52r5-o
sports Shorts,core,https://www.youtube.com/shorts/O5BC-YOwzig
sports Shorts,core,https://www.youtube.com/shorts/8dQ3Kf5u2ys
sports Shorts,core,https://www.youtube.com/shorts/bmAUr22ap8c
sports Shorts,core,https://www.youtube.com/shorts/cyNZ7STZWEc
sports Shorts,core,https://www.youtube.com/shorts/56aBaVPKZjU
sports Shorts,core,https://www.youtube.com/shorts/vBGd4COy8BY
sports Shorts,core,https://www.youtube.com/shorts/t45cetC6j7o
sports Shorts,core,https://www.youtube.com/shorts/EJrSji2JoGY
sports Shorts,core,https://www.youtube.com/shorts/0m4OsfAHYWY
sports Shorts,core,https://www.youtube.com/shorts/HrzlRIRDDgU
sports Shorts,core,https://www.youtube.com/shorts/hIsYsd4yX7o
sports Shorts,core,https://www.youtube.com/shorts/VdJIKcde28M
sports Shorts,core,https://www.youtube.com/shorts/u28UcHkJprc
sports Shorts,core,https://www.youtube.com/shorts/O2HfUb9dyps
motivational Shorts,core,https://www.youtube.com/shorts/kjsqQPMTbd4
motivational Shorts,core,https://www.youtube.com/shorts/rqhip-F4i9c
motivational Shorts,core,https://www.youtube.com/shorts/BsblgcBB17A
motivational Shorts,core,https://www.youtube.com/shorts/5f7E4DQG6kk
motivational Shorts,core,https://www.youtube.com/shorts/Q0BOH_s9gSU
motivational Shorts,core,https://www.youtube.com/shorts/7fLqPBK_Z9o
motivational Shorts,core,https://www.youtube.com/shorts/toamvmz7Vcw
motivational Shorts,core,https://www.youtube.com/shorts/8OLAi6Eba98
motivational Shorts,core,https://www.youtube.com/shorts/2liO8zHVGBs
motivational Shorts,core,https://www.youtube.com/shorts/uwitWUcnC7U
motivational Shorts,core,https://www.youtube.com/shorts/GTw7wk-4ai4
motivational Shorts,core,https://www.youtube.com/shorts/PZcPRNpqNQA
motivational Shorts,core,https://www.youtube.com/shorts/9zQUHqpVo4g
motivational Shorts,core,https://www.youtube.com/shorts/GHGcF30-j_E
motivational Shorts,core,https://www.youtube.com/shorts/GGl_FyxK8qE
motivational Shorts,core,https://www.youtube.com/shorts/RtWe9XmzVOQ
motivational Shorts,core,https://www.youtube.com/shorts/Fwjg_iAuxr4
motivational Shorts,core,https://www.youtube.com/shorts/gzLdmectOaM
motivational Shorts,core,https://www.youtube.com/shorts/ngLglRVaa4w
motivational Shorts,core,https://www.youtube.com/shorts/IOItjGrCPFY
gaming Shorts,core,https://www.youtube.com/shorts/t5r0VgFhp0M
gaming Shorts,core,https://www.youtube.com/shorts/mjaNqXqk-6c
gaming Shorts,core,https://www.youtube.com/shorts/y6xUDVmtS8E
gaming Shorts,core,https://www.youtube.com/shorts/hZWNRBEdVpQ
gaming Shorts,core,https://www.youtube.com/shorts/yyVEGP-7omI
gaming Shorts,core,https://www.youtube.com/shorts/6-nDx3AVCDQ
gaming Shorts,core,https://www.youtube.com/shorts/yYhVn0vcCU0
gaming Shorts,core,https://www.youtube.com/shorts/2-67twDuY-Q
gaming Shorts,core,https://www.youtube.com/shorts/_c5nTXIlZ6g
gaming Shorts,core,https://www.youtube.com/shorts/OHj3VqTQgPU
gaming Shorts,core,https://www.youtube.com/shorts/MxSog0rv5Lg
gaming Shorts,core,https://www.youtube.com/shorts/tDc8dnyw7B4
gaming Shorts,core,https://www.youtube.com/shorts/z4xAwyOYIdM
gaming Shorts,core,https://www.youtube.com/shorts/gDtQ-To3iSU
gaming Shorts,core,https://www.youtube.com/shorts/TS_43nX1wnI
gaming Shorts,core,https://www.youtube.com/shorts/ji-Gzj-8jJM
gaming Shorts,core,https://www.youtube.com/shorts/CZql2y0P29Q
gaming Shorts,core,https://www.youtube.com/shorts/mrIgfglbsAc
gaming Shorts,core,https://www.youtube.com/shorts/eAwebGPfme8
gaming Shorts,core,https://www.youtube.com/shorts/34c8PqXh3tA
travel Shorts,core,https://www.youtube.com/shorts/dLZf4wVY5SA
travel Shorts,core,https://www.youtube.com/shorts/K7pnnYnT3CM
travel Shorts,core,https://www.youtube.com/shorts/mkfSZDwAaf8
travel Shorts,core,https://www.youtube.com/shorts/oDihnbzhRVc
travel Shorts,core,https://www.youtube.com/shorts/HZY3Mx87zCY
travel Shorts,core,https://www.youtube.com/shorts/ivijUqcl9KM
travel Shorts,core,https://www.youtube.com/shorts/DQYc93f7FJw
travel Shorts,core,https://www.youtube.com/shorts/UceymAMsACo
travel Shorts,core,https://www.youtube.com/shorts/5HQjR7QkU84
travel Shorts,core,https://www.youtube.com/shorts/CcOFCg6rQtY
travel Shorts,core,https://www.youtube.com/shorts/JogfIoXd2Gw
travel Shorts,core,https://www.youtube.com/shorts/qU6bxRPltkk
travel Shorts,core,https://www.youtube.com/shorts/KRsMHsJWNrk
travel Shorts,core,https://www.youtube.com/shorts/DFKt4MPhLK4
travel Shorts,core,https://www.youtube.com/shorts/PkaVuvQ6xPs
travel Shorts,core,https://www.youtube.com/shorts/1agDds-tOvA
travel Shorts,core,https://www.youtube.com/shorts/B9gx7DuyxJk
travel Shorts,core,https://www.youtube.com/shorts/4fhsv8Sv9gU
travel Shorts,core,https://www.youtube.com/shorts/zsYDWBsLukQ
travel Shorts,core,https://www.youtube.com/shorts/fNsO9q6f5OE
tech Shorts,core,https://www.youtube.com/shorts/vW2K0L-vUgw
tech Shorts,core,https://www.youtube.com/shorts/iuLgq7bf6QY
tech Shorts,core,https://www.youtube.com/shorts/r3lDJU7KTms
tech Shorts,core,https://www.youtube.com/shorts/O_1RL-0klZw
tech Shorts,core,https://www.youtube.com/shorts/PpOLOiTTXUc
tech Shorts,core,https://www.youtube.com/shorts/86WokI3asU0
tech Shorts,core,https://www.youtube.com/shorts/JczfneTahM8
tech Shorts,core,https://www.youtube.com/shorts/ZjxiNW-6aPU
tech Shorts,core,https://www.youtube.com/shorts/Lxcu84tTJOA
tech Shorts,core,https://www.youtube.com/shorts/D2ntrPu4hVE
tech Shorts,core,https://www.youtube.com/shorts/rsvxmD7eO4s
tech Shorts,core,https://www.youtube.com/shorts/7mZSbd-E69o
tech Shorts,core,https://www.youtube.com/shorts/kWqr-IDPcRw
tech Shorts,core,https://www.youtube.com/shorts/k8RnYF5yqvw
tech Shorts,core,https://www.youtube.com/shorts/47gDOw_PNrw
tech Shorts,core,https://www.youtube.com/shorts/mHxTMLlYP60
tech Shorts,core,https://www.youtube.com/shorts/BXva2wqE2Ao
tech Shorts,core,https://www.youtube.com/shorts/KOmCrzzqT_o
tech Shorts,core,https://www.youtube.com/shorts/jAiki0GOrFA
tech Shorts,core,https://www.youtube.com/shorts/HXmczdiS8m4
viral Shorts,trending,https://www.youtube.com/shorts/9JsL7wexSgI
viral Shorts,trending,https://www.youtube.com/shorts/HiDGfFOzfnk
viral Shorts,trending,https://www.youtube.com/shorts/CQY32DKYaUo
viral Shorts,trending,https://www.youtube.com/shorts/lvdw1JLwhQA
viral Shorts,trending,https://www.youtube.com/shorts/UXagD-Jir8s
viral Shorts,trending,https://www.youtube.com/shorts/BCz2tp8AI0c
viral Shorts,trending,https://www.youtube.com/shorts/lrBFiM8n96E
viral Shorts,trending,https://www.youtube.com/shorts/hd2hiquQZVw
random Shorts,trending,https://www.youtube.com/shorts/zwMEhBq4kYM
viral Shorts,trending,https://www.youtube.com/shorts/hx265ujsLVU
viral Shorts,trending,https://www.youtube.com/shorts/x3PYjwvntf0
viral Shorts,trending,https://www.youtube.com/shorts/HAHQrfXWFV8
viral Shorts,trending,https://www.youtube.com/shorts/F7gi1J3Tcnk
viral Shorts,trending,https://www.youtube.com/shorts/uzYcb3bG2CE
viral Shorts,trending,https://www.youtube.com/shorts/qP08DqrxwzA
