y_decile,mae_log_base,mae_log_stack,n,horizon,mae_gain_log
0,1.7752934561835394,1.7226481760107257,81,7,0.05264528017281367
1,1.1741635357892077,1.0818129301700214,81,7,0.09235060561918629
2,1.090859177671833,1.0331430249669595,81,7,0.05771615270487351
3,0.854818642139435,0.8591341622830008,80,7,-0.004315520143565732
4,0.7384019074616609,0.7688280667596016,81,7,-0.03042615929794068
5,0.6152162080929605,0.6227171800655222,81,7,-0.007500971972561721
6,0.7852776765823366,0.83881887976268,80,7,-0.05354120318034339
7,0.9635114669799802,1.0663227630435717,81,7,-0.1028112960635914
8,1.3358243659690574,1.2535123198213696,81,7,0.08231204614768783
9,1.7865235128520447,1.6915772087734076,81,7,0.09494630407863713
0,1.6409463818008836,1.6357698256491735,74,30,0.005176556151710088
1,1.6333339769546298,1.6009582849915496,73,30,0.03237569196308021
2,1.5809988322323318,1.6131634900800864,73,30,-0.032164657847754574
3,1.10412578713404,1.1463192590534446,73,30,-0.04219347191940459
4,0.7663512745419062,0.8472521710303369,74,30,-0.08090089648843068
5,0.6572825549400015,0.6895545341297638,73,30,-0.03227197918976221
6,0.734980478678664,0.7573187529814482,73,30,-0.022338274302784233
7,0.8195020074713716,0.8616417975516061,73,30,-0.042139790080234496
8,1.25614304738502,1.124462660639544,73,30,0.13168038674547589
9,2.0593058096395955,1.943704475852558,74,30,0.11560133378703763
