run_id,model_family,strategy,horizon,text_present,n,mae_log
colab-concat_mlp-20260306T054620Z,concat_mlp,concat,30,0.0,42,2.7815366983413696
colab-concat_mlp-20260306T054620Z,concat_mlp,concat,30,1.0,691,1.9128155383980912
colab-concat_mlp-20260306T054620Z,concat_mlp,concat,7,0.0,49,1.2819626866554727
colab-concat_mlp-20260306T054620Z,concat_mlp,concat,7,1.0,759,1.2383972062423767
colab-concat_mlp-20260306T054620Z,concat_mlp,max_pool,30,0.0,42,2.755717640831357
colab-concat_mlp-20260306T054620Z,concat_mlp,max_pool,30,1.0,691,1.834990998252946
colab-concat_mlp-20260306T054620Z,concat_mlp,max_pool,7,0.0,49,1.1298470789072466
colab-concat_mlp-20260306T054620Z,concat_mlp,max_pool,7,1.0,759,1.2302006355858603
colab-concat_mlp-20260306T054620Z,concat_mlp,sum_pool,30,0.0,42,2.781745581399827
colab-concat_mlp-20260306T054620Z,concat_mlp,sum_pool,30,1.0,691,1.8294384441568952
colab-concat_mlp-20260306T054620Z,concat_mlp,sum_pool,7,0.0,49,1.226373322156011
colab-concat_mlp-20260306T054620Z,concat_mlp,sum_pool,7,1.0,759,1.2665282514569631
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,concat,30,0.0,42,2.854859942481631
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,concat,30,1.0,691,1.9992710488232448
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,concat,7,0.0,49,1.3957673092277683
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,concat,7,1.0,759,1.2960029408551645
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,max_pool,30,0.0,42,2.854859942481631
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,max_pool,30,1.0,691,1.9992710488232448
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,max_pool,7,0.0,49,1.3957673092277683
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,max_pool,7,1.0,759,1.2960029408551645
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,sum_pool,30,0.0,42,2.854859942481631
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,sum_pool,30,1.0,691,1.9992710488232448
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,sum_pool,7,0.0,49,1.3957673092277683
colab-gated_fusion_mlp-20260306T054937Z,gated_fusion_mlp,sum_pool,7,1.0,759,1.2960029408551645
colab-gbdt-20260306T070623Z,gbdt,concat,30,0.0,42,1.4196418012891496
colab-gbdt-20260306T070623Z,gbdt,concat,30,1.0,691,1.2146287537173148
colab-gbdt-20260306T070623Z,gbdt,concat,7,0.0,49,0.9601093409012775
colab-gbdt-20260306T070623Z,gbdt,concat,7,1.0,759,1.1225634148940737
colab-gbdt-20260306T070623Z,gbdt,max_pool,30,0.0,42,1.3771320751735143
colab-gbdt-20260306T070623Z,gbdt,max_pool,30,1.0,691,1.2415081029690467
colab-gbdt-20260306T070623Z,gbdt,max_pool,7,0.0,49,0.9620737153656629
colab-gbdt-20260306T070623Z,gbdt,max_pool,7,1.0,759,1.1273944198849644
colab-gbdt-20260306T070623Z,gbdt,sum_pool,30,0.0,42,1.4347236837659563
colab-gbdt-20260306T070623Z,gbdt,sum_pool,30,1.0,691,1.2352798285256592
colab-gbdt-20260306T070623Z,gbdt,sum_pool,7,0.0,49,1.0173626335299746
colab-gbdt-20260306T070623Z,gbdt,sum_pool,7,1.0,759,1.1237435246644756
colab-ridge-20260306T070324Z,ridge,concat,30,0.0,42,2.9307014715103876
colab-ridge-20260306T070324Z,ridge,concat,30,1.0,691,2.525911789209556
colab-ridge-20260306T070324Z,ridge,concat,7,0.0,49,1.4149598686062559
colab-ridge-20260306T070324Z,ridge,concat,7,1.0,759,1.410573542196603
colab-ridge-20260306T070324Z,ridge,max_pool,30,0.0,42,2.768628097715832
colab-ridge-20260306T070324Z,ridge,max_pool,30,1.0,691,2.2517986777204855
colab-ridge-20260306T070324Z,ridge,max_pool,7,0.0,49,1.2612543300706514
colab-ridge-20260306T070324Z,ridge,max_pool,7,1.0,759,1.3405704975756418
colab-ridge-20260306T070324Z,ridge,sum_pool,30,0.0,42,2.9032674062819708
colab-ridge-20260306T070324Z,ridge,sum_pool,30,1.0,691,2.2569432821011577
colab-ridge-20260306T070324Z,ridge,sum_pool,7,0.0,49,1.2665117224868463
colab-ridge-20260306T070324Z,ridge,sum_pool,7,1.0,759,1.3043367627109934
