video_id,cluster,url,motion_mean,cut_rate_per_min,audio_rms_mean,audio_rms_std,visual_density,cluster_id,fusion_strategy,k_selected,video_available,audio_available
-0otyLUKU-c,0,https://www.youtube.com/watch?v=-0otyLUKU-c,22.704031551585476,49.31506849315068,426.43651519375345,440.0759280221023,0.0626591021825396,0.0,concat,6.0,1.0,1.0
-3U_meoY_zg,0,https://www.youtube.com/watch?v=-3U_meoY_zg,27.016321975643898,44.34490481522956,2641.646192933864,2130.318436239973,0.0730797526041666,0.0,concat,6.0,1.0,1.0
-4NGVSZlZAw,0,https://www.youtube.com/watch?v=-4NGVSZlZAw,17.612029628493847,24.15850021303792,3611.96462170218,2173.879813698403,0.0241394601970181,0.0,concat,6.0,1.0,1.0
-7ACV1s1RGw,0,https://www.youtube.com/watch?v=-7ACV1s1RGw,31.78132798695212,66.60117878192536,3354.0262760014484,1679.7657304352092,0.2192995040076841,0.0,concat,6.0,1.0,1.0
-8sNtdGMJ6A,0,https://www.youtube.com/watch?v=-8sNtdGMJ6A,60.1271992733604,106.25,6465.0526317065915,2982.7801638489746,0.0699893663194444,0.0,concat,6.0,1.0,1.0
-A7SldGQ6vU,0,https://www.youtube.com/watch?v=-A7SldGQ6vU,36.99367399808377,81.60359685275384,6020.617863127775,2899.2174129636264,0.0868104810393258,0.0,concat,6.0,1.0,1.0
-DSuGJqlSvs,0,https://www.youtube.com/watch?v=-DSuGJqlSvs,50.47591585583157,98.66017052375152,5394.090786878323,2131.7123164988707,0.0694850063131313,0.0,concat,6.0,1.0,1.0
-DiNjT1CVEU,0,https://www.youtube.com/watch?v=-DiNjT1CVEU,25.64432954414218,48.90282131661442,4531.023053682179,1820.0656479539568,0.0774948628743489,0.0,concat,6.0,1.0,1.0
-G6PZx3relE,0,https://www.youtube.com/watch?v=-G6PZx3relE,8.387351318926795,0.0,836.6536558555781,704.8525365591746,0.058247814360119,0.0,concat,6.0,1.0,1.0
-HVZqE4TDwM,0,https://www.youtube.com/watch?v=-HVZqE4TDwM,20.62236407143729,31.86646433990895,1102.0084704806563,616.3811904789303,0.1448698593263581,0.0,concat,6.0,1.0,1.0
-IKtoAyJ1kk,0,https://www.youtube.com/watch?v=-IKtoAyJ1kk,15.667398795875751,19.947612331251257,1492.7646998787748,943.7229489674138,0.1222437793722725,0.0,concat,6.0,1.0,1.0
-IPlEGsoclQ,0,https://www.youtube.com/watch?v=-IPlEGsoclQ,32.93760864004012,66.24,1394.6565976773634,1461.0555164692505,0.0742545833333333,0.0,concat,6.0,1.0,1.0
-JLTSiqhqCs,0,https://www.youtube.com/watch?v=-JLTSiqhqCs,22.376892701194095,33.780160857908854,1145.192781149933,1181.9161593996994,0.1282666666666666,0.0,concat,6.0,1.0,1.0
-JyRn5BO_mA,0,https://www.youtube.com/watch?v=-JyRn5BO_mA,32.87336824585994,87.99891250617893,6879.875836596344,4057.97407789486,0.1096209889846743,0.0,concat,6.0,1.0,1.0
-QwMuybo2co,0,https://www.youtube.com/watch?v=-QwMuybo2co,20.503939727301237,19.32712956335003,4333.473566379485,2864.4793098571567,0.1086483266843971,0.0,concat,6.0,1.0,1.0
-ZVAdAydyU0,0,https://www.youtube.com/watch?v=-ZVAdAydyU0,24.926197903496877,35.964,1426.573711576916,1216.228592574945,0.1111025757748188,0.0,concat,6.0,1.0,1.0
-aoiyXx9oxE,0,https://www.youtube.com/watch?v=-aoiyXx9oxE,33.945210655916085,65.98070739549838,3856.3273130292223,1724.8040532971943,0.0876918068910256,0.0,concat,6.0,1.0,1.0
-lDUNGfGzSk,0,https://www.youtube.com/watch?v=-lDUNGfGzSk,44.64965537742332,109.89010989010988,4597.35689808498,1875.9634468427216,0.091425505050505,0.0,concat,6.0,1.0,1.0
-ptf9bae9mA,0,https://www.youtube.com/watch?v=-ptf9bae9mA,41.012159667797945,76.25615763546799,3972.2324063908377,2484.536066330719,0.0522928793913398,0.0,concat,6.0,1.0,1.0
-sH0lllmAnI,0,https://www.youtube.com/watch?v=-sH0lllmAnI,44.814296768932806,107.76699029126212,3220.317814847633,1444.2364929753185,0.0939030464616402,0.0,concat,6.0,1.0,1.0
00L2OwzAAnY,0,https://www.youtube.com/watch?v=00L2OwzAAnY,24.587844316164652,40.909090909090914,2484.821402264468,1652.2958347684637,0.0959406677750516,0.0,concat,6.0,1.0,1.0
07GzTqywZLY,0,https://www.youtube.com/watch?v=07GzTqywZLY,43.250106493632,88.09980806142035,5369.220863745493,2841.795604891132,0.1334583333333333,0.0,concat,6.0,1.0,1.0
0HbZ0M8fpwA,0,https://www.youtube.com/watch?v=0HbZ0M8fpwA,25.141672455129168,48.22695035460993,3136.1039087116897,1731.8781664120918,0.0437297794117646,0.0,concat,6.0,1.0,1.0
0IJNhIt2TSs,0,https://www.youtube.com/watch?v=0IJNhIt2TSs,31.34275930512626,78.77263581488934,1437.6235377001342,1217.6235216570776,0.1256145245927318,0.0,concat,6.0,1.0,1.0
0JYgbC5a0sY,0,https://www.youtube.com/watch?v=0JYgbC5a0sY,14.211795140553072,13.10847067842085,1257.4155315911069,719.9562545308862,0.0967244856669575,0.0,concat,6.0,1.0,1.0
0Ve7xCDPq_U,0,https://www.youtube.com/watch?v=0Ve7xCDPq_U,44.783839317217264,107.13312130849614,3240.754779097926,2130.3955699136236,0.0675201955782313,0.0,concat,6.0,1.0,1.0
0d_yd7AUx3g,0,https://www.youtube.com/watch?v=0d_yd7AUx3g,18.33492914911083,34.72124206069161,1605.308270854444,1458.7715436726637,0.155137116099374,0.0,concat,6.0,1.0,1.0
0grCwQilvVg,0,https://www.youtube.com/watch?v=0grCwQilvVg,4.520457395701341,0.0,2565.672719407939,3044.206157965741,0.0423352888966916,0.0,concat,6.0,1.0,1.0
0jMSePw8YQ4,0,https://www.youtube.com/watch?v=0jMSePw8YQ4,26.64132577476772,49.19886899151744,3274.424665623704,2292.568450988217,0.039199157619327,0.0,concat,6.0,1.0,1.0
0s74-EGxPCQ,0,https://www.youtube.com/watch?v=0s74-EGxPCQ,15.225105900565785,25.884955752212388,1234.256174282937,1441.078800776461,0.0932815346083788,0.0,concat,6.0,1.0,1.0
0sG5knvQaeA,0,https://www.youtube.com/watch?v=0sG5knvQaeA,25.43796452818246,41.917808219178085,2615.6555278307496,1517.8341781715674,0.1254872705003805,0.0,concat,6.0,1.0,1.0
0yzT9b9uGHE,0,https://www.youtube.com/watch?v=0yzT9b9uGHE,24.08630619513408,47.9462285287528,2052.749051554903,1704.19472963994,0.0753407154044591,0.0,concat,6.0,1.0,1.0
0z2gYFnt6Ok,0,https://www.youtube.com/watch?v=0z2gYFnt6Ok,16.4976432317752,25.666534023079983,5280.770548285419,3836.62487110626,0.0564132564484127,0.0,concat,6.0,1.0,1.0
10nzkQwvY10,0,https://www.youtube.com/watch?v=10nzkQwvY10,26.346874307183658,58.0,6947.610703528245,3685.8492201892086,0.0822613570601851,0.0,concat,6.0,1.0,1.0
12rW2QafrfQ,0,https://www.youtube.com/watch?v=12rW2QafrfQ,32.9214729309082,81.50943396226415,2989.8950061694995,1611.2030719660283,0.0391548073161189,0.0,concat,6.0,1.0,1.0
15P2pYBXcj4,0,https://www.youtube.com/watch?v=15P2pYBXcj4,22.906076090676443,40.31842596865018,1458.1271208519438,1384.9399455958903,0.135043016020352,0.0,concat,6.0,1.0,1.0
1Binz_hxbvY,0,https://www.youtube.com/watch?v=1Binz_hxbvY,31.878892458660506,85.91483387927,7164.025001765367,3047.160110402237,0.0446514726592851,0.0,concat,6.0,1.0,1.0
1D0UNnmfNFc,0,https://www.youtube.com/watch?v=1D0UNnmfNFc,25.797397721730743,56.55737704918033,2172.048728545146,1705.0367708139247,0.1215793739370748,0.0,concat,6.0,1.0,1.0
1I77sO2_0uM,0,https://www.youtube.com/watch?v=1I77sO2_0uM,8.701431476103293,0.6460875807609476,430.7716981583062,404.18331463665095,0.0860134781959378,0.0,concat,6.0,1.0,1.0
1IiLd_fQwCc,0,https://www.youtube.com/watch?v=1IiLd_fQwCc,13.362731644740473,4.612427930813581,2814.4151340030885,2220.946307867453,0.0499783399470899,0.0,concat,6.0,1.0,1.0
1Ld-AKZLpVw,0,https://www.youtube.com/watch?v=1Ld-AKZLpVw,34.12893760204315,59.86143187066974,2296.485066192114,1341.984199447336,0.0871237727490421,0.0,concat,6.0,1.0,1.0
1NiRyG0dShQ,0,https://www.youtube.com/watch?v=1NiRyG0dShQ,20.269346183931766,26.684636118598384,3085.1733709099835,2105.930714232811,0.0499275524340628,0.0,concat,6.0,1.0,1.0
1PTTnmM1tec,0,https://www.youtube.com/watch?v=1PTTnmM1tec,19.62176583985151,24.338028169014088,3039.368132091206,2388.131665574213,0.0881704019498424,0.0,concat,6.0,1.0,1.0
1Rli05-zarE,0,https://www.youtube.com/watch?v=1Rli05-zarE,11.279891388009831,12.947534715786556,1549.3852359391606,1170.240072248254,0.1815122869502992,0.0,concat,6.0,1.0,1.0
1SDkOObEGuc,0,https://www.youtube.com/watch?v=1SDkOObEGuc,19.8970783774058,33.21616871704746,4090.503946935288,1803.36076707511,0.0730049213610197,0.0,concat,6.0,1.0,1.0
1T7JTaYaRpM,0,https://www.youtube.com/watch?v=1T7JTaYaRpM,31.07171243580465,97.41061755146262,1334.721529008278,882.7719228881815,0.0950897209946689,0.0,concat,6.0,1.0,1.0
1XKsIcGxCIs,0,https://www.youtube.com/watch?v=1XKsIcGxCIs,54.069286864938086,116.53846153846152,7988.89054548594,3882.405070331859,0.1351374282184829,0.0,concat,6.0,1.0,1.0
1ddS3ksUXmw,0,https://www.youtube.com/watch?v=1ddS3ksUXmw,22.16192832950768,43.59688195991092,1813.3547136885488,1091.4797608232675,0.0382293655960648,0.0,concat,6.0,1.0,1.0
1inNvnYFzuY,0,https://www.youtube.com/watch?v=1inNvnYFzuY,20.395915568852033,43.02009777294949,994.6471235585708,772.4291899169845,0.0690527255532972,0.0,concat,6.0,1.0,1.0
1jBQZoPCdoQ,0,https://www.youtube.com/watch?v=1jBQZoPCdoQ,9.798777424350932,14.364640883977902,10541.766584534786,5851.4642132712825,0.0777123550586136,0.0,concat,6.0,1.0,1.0
1qu69aDti4c,0,https://www.youtube.com/watch?v=1qu69aDti4c,33.74518277706244,71.87765505522515,6678.408317640472,3348.023161021352,0.0795749686840717,0.0,concat,6.0,1.0,1.0
1r0FOpkAt4Q,0,https://www.youtube.com/watch?v=1r0FOpkAt4Q,21.3182554714453,37.893141341417206,9462.488022428854,2715.732987979715,0.0574456690228174,0.0,concat,6.0,1.0,1.0
1wbRB8GIepw,0,https://www.youtube.com/watch?v=1wbRB8GIepw,37.27747915786447,74.13127413127414,2560.7025211021287,1568.5159542483732,0.0722389990651709,0.0,concat,6.0,1.0,1.0
1wdwaMFLemU,0,https://www.youtube.com/watch?v=1wdwaMFLemU,35.84722480979017,67.00071581961345,5471.264159486454,2611.337558562629,0.0488013445626477,0.0,concat,6.0,1.0,1.0
22YSIgm1NIc,0,https://www.youtube.com/watch?v=22YSIgm1NIc,29.15814426924708,60.30927835051546,4173.038349642189,2217.648148457932,0.0733159512546967,0.0,concat,6.0,1.0,1.0
27_W_CQJIKA,0,https://www.youtube.com/watch?v=27_W_CQJIKA,46.04162990215213,95.59939301972686,4022.774905676129,2599.669585249619,0.0659296085858585,0.0,concat,6.0,1.0,1.0
