video_id,cluster,cluster_id,fusion_strategy,k_selected
-0otyLUKU-c,0,0,concat,6
-3U_meoY_zg,0,0,concat,6
-4NGVSZlZAw,0,0,concat,6
-7ACV1s1RGw,0,0,concat,6
-8sNtdGMJ6A,0,0,concat,6
-A7SldGQ6vU,0,0,concat,6
-DSuGJqlSvs,0,0,concat,6
-DiNjT1CVEU,0,0,concat,6
-G6PZx3relE,0,0,concat,6
-HVZqE4TDwM,0,0,concat,6
-IKtoAyJ1kk,0,0,concat,6
-IPlEGsoclQ,0,0,concat,6
-JLTSiqhqCs,0,0,concat,6
-JyRn5BO_mA,0,0,concat,6
-QwMuybo2co,0,0,concat,6
-ZVAdAydyU0,0,0,concat,6
-aoiyXx9oxE,0,0,concat,6
-lDUNGfGzSk,0,0,concat,6
-ptf9bae9mA,0,0,concat,6
-sH0lllmAnI,0,0,concat,6
00L2OwzAAnY,0,0,concat,6
07GzTqywZLY,0,0,concat,6
0HbZ0M8fpwA,0,0,concat,6
0IJNhIt2TSs,0,0,concat,6
0JYgbC5a0sY,0,0,concat,6
0Ve7xCDPq_U,0,0,concat,6
0d_yd7AUx3g,0,0,concat,6
0grCwQilvVg,0,0,concat,6
0jMSePw8YQ4,0,0,concat,6
0s74-EGxPCQ,0,0,concat,6
0sG5knvQaeA,0,0,concat,6
0yzT9b9uGHE,0,0,concat,6
0z2gYFnt6Ok,0,0,concat,6
10nzkQwvY10,0,0,concat,6
12rW2QafrfQ,0,0,concat,6
15P2pYBXcj4,0,0,concat,6
1Binz_hxbvY,0,0,concat,6
1D0UNnmfNFc,0,0,concat,6
1I77sO2_0uM,0,0,concat,6
1IiLd_fQwCc,0,0,concat,6
1Ld-AKZLpVw,0,0,concat,6
1NiRyG0dShQ,0,0,concat,6
1PTTnmM1tec,0,0,concat,6
1Rli05-zarE,0,0,concat,6
1SDkOObEGuc,0,0,concat,6
1T7JTaYaRpM,0,0,concat,6
1XKsIcGxCIs,0,0,concat,6
1ddS3ksUXmw,0,0,concat,6
1inNvnYFzuY,0,0,concat,6
1jBQZoPCdoQ,0,0,concat,6
1qu69aDti4c,0,0,concat,6
1r0FOpkAt4Q,0,0,concat,6
1wbRB8GIepw,0,0,concat,6
1wdwaMFLemU,0,0,concat,6
22YSIgm1NIc,0,0,concat,6
27_W_CQJIKA,0,0,concat,6
29qrez2YuYI,0,0,concat,6
2Bka_mZ9SnY,0,0,concat,6
2DQOlCrQZwI,0,0,concat,6
2H3Sqtk8Nno,0,0,concat,6
2JFg1dLdufY,0,0,concat,6
2L2_kmmLa_A,0,0,concat,6
2LEYMKRKnG4,0,0,concat,6
2MYeUkgQezo,0,0,concat,6
2OtYn2xN-tU,0,0,concat,6
2OtqkvubdVk,0,0,concat,6
2P9Qw4Pje5I,0,0,concat,6
2Sv1UXTrZjc,0,0,concat,6
2VlAQJ0nqIU,0,0,concat,6
2Whf_n9kwOg,0,0,concat,6
2YTfyoHjIIA,0,0,concat,6
2aU_cAz9YHo,0,0,concat,6
2mreQKcsL6E,0,0,concat,6
2nr5DwNjlAc,0,0,concat,6
2qTGM4P6d-g,0,0,concat,6
2u4S6P9AHws,0,0,concat,6
2uKjZ6o_NsM,0,0,concat,6
30F_U-cDSqQ,0,0,concat,6
32bP0aHIg1o,0,0,concat,6
3A7OO0ySG-U,0,0,concat,6
3AblHVSj54s,0,0,concat,6
3Bf2mCX5f4o,0,0,concat,6
3D5gK53jOHg,0,0,concat,6
3I63SZSV_LM,0,0,concat,6
3IzpzGfHVw0,0,0,concat,6
3QQX157pHwc,0,0,concat,6
3SUFKsehock,0,0,concat,6
3Xe9cpH4rRs,0,0,concat,6
3dYJAFEGN1A,0,0,concat,6
3ew8l3fXdWo,0,0,concat,6
3fkQLqcgXD8,0,0,concat,6
3gvdTW0YIKg,0,0,concat,6
3onX0FH6WIE,0,0,concat,6
3tC1iCHOrok,0,0,concat,6
43XtY9N-ARQ,0,0,concat,6
4GTwgXcaYgo,0,0,concat,6
4KsY-RE4AfU,0,0,concat,6
4RZSx02_iVM,0,0,concat,6
4TAie1o1QB0,0,0,concat,6
4U21oVh-WUE,0,0,concat,6
4XtXrzOH6ww,0,0,concat,6
4ZFgVn_UQew,0,0,concat,6
4amnQaqz_YQ,0,0,concat,6
4fEajnENiZs,0,0,concat,6
