video_id,horizon,range_min_raw,range_max_raw,range_min_log,range_max_log,range_width_raw,range_midpoint_raw,range_midpoint_log
-67kb-NHjHY,7,271851.05110049865,434415.3521135473,12.51301326751709,12.98175868988037,162564.30101304868,353133.201607023,12.774603438191555
-6bye_nqBSE,7,247928.751841548,560565.686492903,12.42090072631836,13.236703491210935,312636.934651355,404247.2191672255,12.90978437215377
-8Gs_qnW5c0,7,59413.849242983575,157854.19477570505,10.992299461364745,11.96943340301514,98440.34553272148,108634.0220093443,11.595749120768339
-DSuGJqlSvs,7,39210.950211905176,82207.68398846292,10.57673683166504,11.317016220092773,42996.73377655774,60709.317100184046,11.013868931306096
-GakK-_ARy0,7,77074.15019794845,193787.19528825648,11.252536201477051,12.1745210647583,116713.04509030803,135430.67274310248,11.816222531921456
-Iwl0gjhHa4,7,39205.54694460694,432047.31685155205,10.57659902572632,12.976292705535888,392841.7699069451,235626.4318980795,12.370007158184007
-OWHhr7b0cs,7,77897.39358926003,604921.6126688985,11.263160610198975,13.31285581588745,527024.2190796385,341409.5031290793,12.740840853746457
-ep-Qk4o11I,7,179206.22959047087,382810.5603915128,12.096298122406006,12.855298137664795,203604.33080104194,281008.39499099186,12.546143381888617
-jbPQFEpmP4,7,541775.3137570473,993588.8179079291,13.202608489990235,13.809079742431638,451813.5041508818,767682.0658324882,13.551132252258892
-l6Cup4lYDQ,7,175983.9842382094,248204.1825574355,12.078153953552246,12.422011032104493,72220.1983192261,212094.08339782245,12.264789959698632
-tNICUlIXPU,7,35479.18939457564,58242.950702945716,10.476729774475098,10.972395515441894,22763.761308370078,46861.07004876068,10.754963886262377
01Bq7uwQgtM,7,132417.73844722201,727164.7437963483,11.79372444152832,13.496909713745117,594747.0053491263,429791.2411217852,12.97105721072836
06PfI8c9C6s,7,147147.9096849415,418372.9768132173,11.89920034408569,12.944130992889406,271225.06712827575,282760.4432490794,12.552358864420539
09UtJdKG1V0,7,160814.75385467394,255385.77483814416,11.988014602661133,12.450534439086914,94571.02098347023,208100.26434640907,12.24578008803078
0AU8gfebaPc,7,156084.6704466674,288100.71075086686,11.958160305023192,12.571068859100345,132016.04030419944,222092.69059876713,12.310854601549096
0Cc-rFfnlDI,7,228433.95027405708,310159.6348537703,12.339006767272949,12.64484561920166,81725.68457971324,269296.7925639137,12.503573081825559
0H-QH9R87vw,7,317558.41682774253,1672047.1973481248,12.668420219421387,14.329559898376464,1354488.7805203823,994802.8070879336,13.810300817892337
0O7hAX2mgio,7,148553.41033386774,621759.4644156863,11.908706569671631,13.340310192108154,473206.05408181855,385156.43737477704,12.861407457927728
0S4ukO9t3lc,7,233891.84239770917,374459.84051128366,12.362618350982666,12.833242511749265,140567.9981135745,304175.84145449643,12.625364526568438
0SGWiWX9d9E,7,71638.9712523332,191605.49511155087,11.17940845489502,12.163199043273925,119966.52385921768,131622.23318194202,11.787698826227038
0X_m0UER36Q,7,28914.28495925057,113338.73201740813,10.272125625610352,11.638145065307617,84424.44705815756,71126.50848832935,11.172229439535412
0_CZKVGg6dg,7,74174.90464042343,105970.48942875849,11.214194641113279,11.570925369262696,31795.584788335065,90072.69703459096,11.408383470172685
0_bIYImevIw,7,39867.306489068054,72205.30569934234,10.593336963653565,11.18728265762329,32337.999210274284,56036.306094205196,10.933772928171386
0bx-03Baqmo,7,747091.4980837002,1236589.8578153832,13.523944282531735,14.027868843078616,489498.35973168304,991840.6779495417,13.807318774688571
0gtcXVP0OHo,7,756964.5630281587,1515304.8145139732,13.537073040008545,14.231127834320068,758340.2514858145,1136134.688771066,13.943143315471053
0p-dh0kbNPs,7,242091.2398810261,346231.9905072411,12.39707408905029,12.754867210388184,104140.75062621501,294161.6151941336,12.591888006315473
0yzT9b9uGHE,7,576234.7347169832,1228725.422305649,13.264272117614746,14.021488761901855,652490.6875886658,902480.0785113161,13.71290300333096
1281VEhY0oM,7,120553.54877669575,346243.6993671056,11.699857616424557,12.754901027679447,225690.15059040987,233398.62407190067,12.360507388173058
12F9SUQmBSs,7,39169.35117985681,90040.53238228627,10.57567539215088,11.408026313781738,50871.18120242946,64604.94178107154,11.076061663576136
12FNL421nxI,7,158298.96556686168,242154.44844266018,11.972247028350834,12.397335147857662,83855.48287579851,200226.70700476092,12.207210532914505
1HoSqnZj4GQ,7,112510.00867274807,348717.30616714933,11.630806350708008,12.762019729614257,236207.29749440128,230613.6574199487,12.34850344689576
1LCDs4TZOoA,7,68928.4643220233,113792.7488381336,11.140839004516602,11.642142868041992,44864.2845161103,91360.60658007846,11.422580609893696
1PV9G45KRmc,7,68834.88659746974,101764.95420833727,11.139480495452881,11.530430889129638,32930.067610867525,85299.9204029035,11.353940523608
1PxpAVxe-7Q,7,213585.9803616039,299953.46410787554,12.271799430847167,12.61138595581055,86367.48374627164,256769.72223473972,12.455938834308979
1VJ_Qct312c,7,68620.16256850839,158663.24378848766,11.136356258392334,11.974545574188232,90043.08121997927,113641.70317849802,11.640814622894805
1dWoYfUQUCI,7,45585.19248178281,168585.06078685264,10.727360153198244,12.03520164489746,122999.86830506983,107085.12663431773,11.581388711484262
1gnKmlJKcQs,7,143825.45889617433,591220.312652445,11.876362705230713,13.289945697784423,447394.8537562707,367522.8857743097,12.814543590827169
1o5HRKfddoc,7,188079.99106416552,427350.9198479262,12.144627952575682,12.965363121032713,239270.92878376067,307715.45545604586,12.636934038775365
1pLMTBcAyPM,7,167646.94694433775,312770.5648455378,12.029621505737301,12.6532283782959,145123.61790120008,240208.75589493779,12.389267803519035
1xD20nH1Vxo,7,224009.2178481672,336898.07407731574,12.31944694519043,12.727538681030273,112888.85622914854,280453.64596274146,12.544167300899254
23xAUlutLKo,7,527618.4890055791,701146.5794974269,13.17613063812256,13.460473670959473,173528.09049184772,614382.534251503,13.32837466073562
29temM0dAvk,7,704305.943663718,1437206.0810708776,13.464969539642333,14.178212261199954,732900.1374071597,1070756.012367298,13.883876444480032
2Ae9_uU5-kI,7,61142.90773636418,259042.2681658681,11.020985507965088,12.464750385284423,197899.36042950393,160092.58795111615,11.98351384790867
2MYeUkgQezo,7,131935.64366435478,1645886.6750290934,11.790077114105225,14.313790416717527,1513951.0313647387,888911.159346724,13.697753701230285
